train_loss,valid_loss
1.008152,0.947277
0.983744,0.931380
0.955287,0.923713
0.953666,0.923199
0.952769,0.920236
0.944864,0.916052
0.945646,0.924935
0.950931,0.921434
0.945200,0.922730
0.947132,0.930099
